headline
Agent Safehouse – macOS-native sandboxing for local agents (agent-safehouse.dev)
Microscopes can see video on a laserdisc (youtube.com)
PCB devboard the size of a USB-C plug (github.com/dieu-de-l-elec)
Blacksky AppView (github.com/blacksky-algorithms)
We should revisit literate programming in the agent era (silly.business)
Ask HN: What Are You Working On? (March 2026)
Every single board computer I tested in 2025 (bret.dk)
FrameBook (edoo.gg)
Linux Internals: How /proc/self/mem writes to unwritable memory (2021) (offlinemark.com)
Show HN: I built a real-time OSINT dashboard pulling 15 live global feeds (github.com/bigbodycobain)
My Homelab Setup (bryananthonio.com)
Artificial-life: A simple (300 lines of code) reproduction of Computational Life (github.com/rabrg)
Living human brain cells play DOOM on a CL1 [video] (youtube.com)
WSL Manager (github.com/bostrot)
Pushing and Pulling: Three reactivity algorithms (jonathan-frere.com)
I made a programming language with M&Ms (mufeedvh.com)
Why can't you tune your guitar? (2019) (ethanhein.com)
Case Study: lynnandtonic.com 2025 refresh (lynnandtonic.com)
Log messages are mostly for the people operating your software (utcc.utoronto.ca)
Lil Finder Guy (basicappleguy.com)
Most of the US economy is in a recession (businessinsider.com)
Ask HN: How to be alone?
Z80 Sans – a disassembler in a font (2024) (github.com/nevesnunes)
The legendary Mojave Phone Booth is back (2013) (dailydot.com)
My “grand vision” for Rust (yoshuawuyts.com)
An Analysis of User-Space Idle State Instructions on x86 Processors (acm.org)
Tell HN: Tired of Generic Long Form A.I Posts
LibreOffice Writer now supports Markdown (documentfoundation.org)
Notes on writing Rust-based Wasm (brooklynzelenka.com)
What if the Apple ][ had run on Field-Sequential? (nicole.express)
